class,solution_treatment_temperature,C_mass,Ni,Nb+Ta,V,Fe,Sn,Ti_test_temperature,test_stress,Ti_lg_RT
IMI834,1019.85,0.06,0.7,0.7,0,0,4,600,355,2.447158031
IMI834,1019.85,0.06,0.7,0.7,0,0,4,600,349,2.51851394
IMI834,1019.85,0.06,0.7,0.7,0,0,4,600,295,2.921686475
IMI834,1019.85,0.06,0.7,0.7,0,0,4,600,275,3.025305865
IMI834,1019.85,0.06,0.7,0.7,0,0,4,600,195,3.678518379
IMI834,1019.85,0.06,0.7,0.7,0,0,4,625,300,2.230448921
IMI834,1019.85,0.06,0.7,0.7,0,0,4,625,277,2.505149978
IMI834,1019.85,0.06,0.7,0.7,0,0,4,625,248,2.736396502
IMI834,1019.85,0.06,0.7,0.7,0,0,4,625,173,3.394451681
IMI834,1019.85,0.06,0.7,0.7,0,0,4,650,223,2.29666519
IMI834,1019.85,0.06,0.7,0.7,0,0,4,650,177,2.806179974
IMI834,1019.85,0.06,0.7,0.7,0,0,4,650,150,3.025305865
IMI834,1019.85,0.06,0.7,0.7,0,0,4,650,135,3.397940009
Ti60_1#,1070,0.06,0,1.4,0,0,4,600,360,2.442479769
Ti60_2#,1070,0.06,0,1.4,0,0,4,600,360,2.276461804
Ti60_4#,1070,0.06,0,1.4,0,0,4,600,360,2.176091259
as-cast,0,0,0,1,0,0,4,650,150,2.44870632
as-cast,0,0,0,1,0,0,4,625,200,2.400883216
DMR834HF 1,1080,0.06,0.017,0.6,0,0.024,3.98,650,220,2.075546961
DMR834LF 1,1080,0.07,0.0065,0.73,0,0.015,3.42,650,220,2.342422681
Timetal834 1,1065,0.065,0.002,0.71,0,0.0065,4.02,650,220,2.42975228
Timetal834 2,1040,0.065,0.002,0.71,0,0.0065,4.02,650,220,2.068185862
Timetal834 3,1025,0.065,0.002,0.71,0,0.0065,4.02,650,220,2.008600172
TC4-2,0,0.09,0,0,4,0.2,0,475,300,2.171228997
TC4-2,0,0.09,0,0,4,0.2,0,475,300,2.875061263
TC4-2,0,0.09,0,0,4,0.2,0,500,300,2.189546457
TC4-2,0,0.09,0,0,4,0.2,0,475,300,3.674146216
TC4-2,0,0.09,0,0,4,0.2,0,500,300,2.267828542
Ti65,1020,0.05,0,1.3,0,0,4,650,240,2.241795431
Timetal834-5a,1050,0.06,0,0.7,0,0,4,600,300,2.484014963
Timetal834-12a,1030,0.06,0,0.7,0,0,4,600,250,2.658011397
Timetal834-12a,1030,0.06,0,0.7,0,0,4,600,300,2.041392685
Timetal834-24a,1010,0.06,0,0.7,0,0,4,600,250,2.447158031
Timetal834-24a,1010,0.06,0,0.7,0,0,4,600,300,2.012837225
Timetal834-40a,990,0.06,0,0.7,0,0,4,600,250,2.397940009
